,NumEmpleado,Horario,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado
0,4404,7:00 - 8:00, , , , , , 
1,4404,8:00 - 9:00, , , , , , 
2,4404,9:00 - 10:00, , , , , , 
3,4404,10:00 - 11:00, , , , , , 
4,4404,11:00 - 12:00, , , , , , 
5,4404,12:00 - 13:00, , , , , , 
6,4404,13:00 - 14:00, , , , , , 
7,4404,14:00 - 15:00, , , , , , 
8,4404,15:00 - 16:00, , , , , , 
9,4404,16:00 - 17:00, , , , , , 
10,4404,17:00 - 18:00, ,X, ,X, , 
11,4404,18:00 - 19:00, ,X, ,X, , 
12,4404,19:00 - 20:00, ,X, ,X, , 
13,4404,20:00 - 21:00, ,X, ,X, , 
14,4404,21:00 - 22:00, ,X, ,X, , 
15,4404,22:00 - 23:00, , , , , , 
16,4404,10,,,,,,
17,4429,7:00 - 8:00, , , , , , 
18,4429,8:00 - 9:00, , , , , , 
19,4429,9:00 - 10:00,X,X,X, , , 
20,4429,10:00 - 11:00,X,X,X,X, , 
21,4429,11:00 - 12:00, ,X,X,X, , 
22,4429,12:00 - 13:00, ,X,X,X, , 
23,4429,13:00 - 14:00, , ,X,X, , 
24,4429,14:00 - 15:00, , , , , , 
25,4429,15:00 - 16:00, , , , , , 
26,4429,16:00 - 17:00, , , , , , 
27,4429,17:00 - 18:00, , , , , , 
28,4429,18:00 - 19:00, , , , , , 
29,4429,19:00 - 20:00, , , , , , 
30,4429,20:00 - 21:00, , , , , , 
31,4429,21:00 - 22:00, , , , , , 
32,4429,22:00 - 23:00, , , , , , 
33,4429,15,,,,,,
34,4841,7:00 - 8:00, , , , , , 
35,4841,8:00 - 9:00, , , , , , 
36,4841,9:00 - 10:00, , , , , , 
37,4841,10:00 - 11:00,X, , , , , 
38,4841,11:00 - 12:00,X,X, ,X, , 
39,4841,12:00 - 13:00,X,X, ,X, , 
40,4841,13:00 - 14:00, , , , , , 
41,4841,14:00 - 15:00, , , , , , 
42,4841,15:00 - 16:00, , , , , , 
43,4841,16:00 - 17:00, , , , , , 
44,4841,17:00 - 18:00, , , , , , 
45,4841,18:00 - 19:00, , , , , , 
46,4841,19:00 - 20:00, , , , , , 
47,4841,20:00 - 21:00, , , , , , 
48,4841,21:00 - 22:00, , , , , , 
49,4841,22:00 - 23:00, , , , , , 
50,4841,7,,,,,,
51,6130,7:00 - 8:00, , , , , , 
52,6130,8:00 - 9:00, , , , , , 
53,6130,9:00 - 10:00, , , , , , 
54,6130,10:00 - 11:00, , , , , , 
55,6130,11:00 - 12:00, , , , , , 
56,6130,12:00 - 13:00, , , , , , 
57,6130,13:00 - 14:00, , , , , , 
58,6130,14:00 - 15:00, , , , , , 
59,6130,15:00 - 16:00, , , , , , 
60,6130,16:00 - 17:00, ,X,X, , , 
61,6130,17:00 - 18:00,X,X,X, , , 
62,6130,18:00 - 19:00,X,X,X, , , 
63,6130,19:00 - 20:00,X,X,X, , , 
64,6130,20:00 - 21:00,X,X, , , , 
65,6130,21:00 - 22:00,X, , , , , 
66,6130,22:00 - 23:00, , , , , , 
67,6130,14,,,,,,
68,8134,7:00 - 8:00,X, , , , , 
69,8134,8:00 - 9:00,X, , , , , 
70,8134,9:00 - 10:00, , , , , , 
71,8134,10:00 - 11:00, , , ,X, , 
72,8134,11:00 - 12:00, , , ,X, , 
73,8134,12:00 - 13:00, , , , , , 
74,8134,13:00 - 14:00, , , , , , 
75,8134,14:00 - 15:00, , , , , , 
76,8134,15:00 - 16:00, , , , , , 
